title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
SHEER 高级薄款保暖连裤袜，适合 15-20 摄氏度及以上温度穿着。,黑色,2.59,https://cf.shopee.co.th/file/th-11134207-7r98p-lyz0vxw8arhla9,http://shopee.co.th/product/2156859/79939883,Women Clothes,Socks & Stockings,IVCN202601050001,2.17725E+11,https://detail.1688.com/offer/770957283685.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,4-21发布,79939883,2.59,,2,Pantyhose
SHEER 高级薄款保暖连裤袜，适合 15-20 摄氏度及以上温度穿着。,肤色中码,2.59,https://cf.shopee.co.th/file/th-11134207-7r98p-lyz0vxw8arhla9,http://shopee.co.th/product/2156859/79939883,Women Clothes,Socks & Stockings,IVCN202604220001,2.56523E+11,https://detail.1688.com/offer/770957283685.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,4-21发布,79939883,2.59,,2,Pantyhose
Cofoe医用级压力袜，适用于静脉曲张（露踝款）,XL（米色）,24,https://cf.shopee.co.th/file/f28116cdd7d6e0712604328f0504acd2,http://shopee.co.th/product/17325447/165643103,Women Clothes,Socks & Stockings,IVCN202604220003,3294940301,https://detail.1688.com/offer/860301945288.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,4-22发布,165643103,24,高价品,1,Pantyhose
Xsen竹炭长款加厚工作袜 办公运动安全靴袜 长款加厚工作袜 防臭,黑色，底部标志,9,https://cf.shopee.com.my/file/67a23d2da43d75f7a6f30e43ebc9299f,http://shopee.com.my/product/28515006/439984823,Women Clothes,Socks & Stockings,IVCN2026041626629,3343134219,https://detail.1688.com/offer/803072576597.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i82&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,,4-22发布,439984823,9,,1,Socks
Xsen 竹炭长款宽筒黑色袜子 办公运动学校工作袜 男女款 Stokin Stoking kerja Panjang anti bau,3双-男士尺码,5.55,https://cf.shopee.com.my/file/eb823018870a9f7f597d5201f5db9de5,http://shopee.com.my/product/28515006/440439918,Women Clothes,Socks & Stockings,IVCN2026041626631,58483638434,https://detail.1688.com/offer/722368144775.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,440439918,5.55,,1,Socks
Biofresh 男士抗菌除臭纯棉低帮薄款休闲袜 3 双装 RMCKG12,黑色,6.36,https://cf.shopee.ph/file/06c2801d20809ac004e16c96d9036bea,http://shopee.ph/product/31978308/525335662,Men Clothes,Socks,IVCN2026041626633,733748079,https://detail.1688.com/offer/931653212428.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,525335662,6.36,,1,
Biofresh 男士纯棉加厚运动短袜 3 双装 RMSKG18,黑色,6.15,https://cf.shopee.ph/file/ph-11134207-7ras8-m13m8dniv3ua80,http://shopee.ph/product/31978308/528420857,Men Clothes,Socks,IVCN2026041626633,733249131,https://detail.1688.com/offer/671647744074.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,528420857,6.15,,2,
Biofresh 男士纯棉加厚运动短袜 3 双装 RMSKG18,灰色杂色,6.15,https://cf.shopee.ph/file/ph-11134207-7rasm-m13m8r1r9eerf9,http://shopee.ph/product/31978308/528420857,Men Clothes,Socks,IVCN2026041626636,733249132,https://detail.1688.com/offer/671647744074.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,528420857,6.15,,2,
Biofresh 男士抗菌棉质短袜，轻薄休闲款，3 双装 RMCKG11,黑色,9.6,https://cf.shopee.ph/file/ph-11134207-7rasc-m0o8r2ogm1hgec,http://shopee.ph/product/31978308/528492110,Men Clothes,Socks,IVCN2026031722517,740987313,https://detail.1688.com/offer/730187557787.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0&tracelog=cps&clickid=4124d34edb4ba84204f4e285f616b30d,,4-21发布,528492110,9.6,,1,
保暖紧身裤（带薄绒衬里）- 小号 - 保暖温度范围为 -10 至 10 摄氏度。,肤色2#：腰围 26-40 英寸，均码,18.8,https://cf.shopee.co.th/file/th-11134207-81ztp-mfcboo85v85l94,http://shopee.co.th/product/2827150/537854092,Women Clothes,Socks & Stockings,IVCN2026031722519,1.09258E+11,https://detail.1688.com/offer/830284014063.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,,4-21发布,537854092,18.8,,1,Pantyhose
