title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
Burlington 女士棉质短袜，轻薄加厚款，3 双装，6222,白色的,10.8,https://cf.shopee.ph/file/ph-11134207-7ras8-m1dl48jxj2t577,http://shopee.ph/product/31978308/478097893,Women Clothes,Socks & Stockings,IVCN2026091823729,733600506,https://detail.1688.com/offer/687954017641.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高价品,20260918,478097893,10.8,高价品,2,Socks
Burlington 女士棉质短袜，轻薄加厚款，3 双装，6222,黑色的,11.73,https://cf.shopee.ph/file/ph-11134207-7rasm-m1dl43sgi0ah81,http://shopee.ph/product/31978308/478097893,Women Clothes,Socks & Stockings,IVCN2026091823729,733600504,https://detail.1688.com/offer/557642160059.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,478097893,11.73,高价品,2,Socks
Biofresh 男士抗菌棉质加厚运动短袜 3 双装 RMSKG18,白色的,6.6,https://cf.shopee.ph/file/ph-11134207-7rasd-m13m8nesl1rn7c,http://shopee.ph/product/31978308/528420857,Men Clothes,Socks,IVCN2026091823731,733249133,https://detail.1688.com/offer/822257486644.html?spm=a26352.b28411319.offerlist.1.59d61e62sISMPa&cosite=-&tracelog=p4p&_p_isad=1&clickid=f6762cecac73480aba1d3c92b66e9b8b&sessionid=c508ce84dfc17c83cc1b8c93364f609f,高价品,20260918,528420857,6.6,高价品,3,
Biofresh 男士抗菌棉质加厚运动短袜 3 双装 RMSKG18,灰色杂色,6.15,https://cf.shopee.ph/file/ph-11134207-7rasm-m13m8r1r9eerf9,http://shopee.ph/product/31978308/528420857,Men Clothes,Socks,IVCN2026091823731,733249132,https://detail.1688.com/offer/671647744074.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,528420857,6.15,高价品,3,
Biofresh 男士抗菌棉质加厚运动短袜 3 双装 RMSKG18,黑色的,6.15,https://cf.shopee.ph/file/ph-11134207-7ras8-m13m8dniv3ua80,http://shopee.ph/product/31978308/528420857,Men Clothes,Socks,IVCN2026091823731,733249131,https://detail.1688.com/offer/671647744074.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,528420857,6.15,高价品,3,
（均码，8双装）Sanremo 男士工作袜，黑色，贴合脚型，轻便透气，舒适凉爽，NIS-SRM1-BLF,（均码，8双装）Sanremo 男士工作袜，黑色，贴合脚型，轻便透气，舒适凉爽，NIS-SRM1-BLF,17.49,https://cf.shopee.co.th/file/091ce9c806ebc80055a7351affed006e,http://shopee.co.th/product/32005559/550331435,Men Clothes,Socks,IVCN2026091823733,62145582609,https://detail.1688.com/offer/730187557787.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b5681be17736289888755144e0da2&token=b4mxizUb5huHSjTaQm8JgA3Tvh%2F%2FgeWvecuwb1kFEE7dy8dgZR8o92L27bV0UCd6&tracelog=cps&clickid=31e2c2575f9b2f9851084d932425f8fc&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B144206896AB5ED60D5742AF1DDAA5DB845496BD365B316D25B0FAC8A29C491432348394BC3CC3C62B9992F8828C4BE8924C0F95B3F0CCF6F64D8944F9B56E097985544B662DEB5B7583DE1C550EF06DCF329FDFCA3DEDAE5BCEB1A0B5F8B0ED548B2058C647A8F91143048330BDB0059E089C2B35CF644286B931A5606E2453CD4326331A9DD82269%26cbu_cps_trace_flag%3Dwrite,高价品,20260918,550331435,17.49,高价品,1,
伯灵顿男士棉质加厚运动船袜，3双装，0223,白色的,5.07,https://cf.shopee.ph/file/sg-11134201-825ae-msckdjryyy9y52,http://shopee.ph/product/31978308/568006753,Men Clothes,Socks,IVCN2026091823735,734131137,https://detail.1688.com/offer/774693852781.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,高价品,20260918,568006753,5.07,高价品,1,
Dri Plus 男士纯棉加厚运动短袜 3 双装 DMSKG15,黑色的,6,https://cf.shopee.ph/file/ph-11134207-7rasj-m2qc2d7u0hdrf2,http://shopee.ph/product/31978308/736897495,Men Clothes,Socks,IVCN2026091823737,733329155,https://detail.1688.com/offer/778976072735.html?spm=a26352.b28411319.offerlist.6.43661e62ThJYOo&cosite=-&tracelog=p4p&_p_isad=1&clickid=c8f948bdf5a04bacbc148f27063baf03&sessionid=47b5d438c134c3421ebd14757ca99fc5,高价品,20260918,736897495,6,高价品,1,
Biofresh 女士抗菌吸汗隐形薄款休闲袜 3 双装 RLFG1,黑色的,1.15,https://cf.shopee.ph/file/sg-11134201-8259h-mr6mu9868hds8e,http://shopee.ph/product/31978308/928464665,Women Clothes,Socks & Stockings,IVCN2026091823739,782715503,https://detail.1688.com/offer/1183358740.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,928464665,1.15,高价品,2,Socks
Biofresh 女士抗菌吸汗隐形薄款休闲袜 3 双装 RLFG1,肤色,3.45,https://cf.shopee.ph/file/sg-11134201-8258i-mr6muaifkxzgf0,http://shopee.ph/product/31978308/928464665,Women Clothes,Socks & Stockings,IVCN2026091823739,782715504,https://detail.1688.com/offer/1183358740.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,高价品,20260918,928464665,3.45,高价品,2,Socks
